Parceiro;Procedimento;Valor_particular;Valor_repasse;Data da atualização;Valor_venda;Valor_Promoção;Sem_Nota;CÓDIGO
Anestesia e Serviços Médicoas LTDA;Blefaroplastia Superior; R$ 1.600,00 ; R$ 1.500,00 ;;;;;Anestesia e Serviços Médicoas LTDABlefaroplastia Superior
Anestesia e Serviços Médicoas LTDA;Blefaroplastia Superior + Inferior + Cantopexia Ou Cantoplastia; R$ 1.600,00 ; R$ 1.500,00 ;;;;;Anestesia e Serviços Médicoas LTDABlefaroplastia Superior + Inferior + Cantopexia Ou Cantoplastia
Anestesia e Serviços Médicoas LTDA;Braquioplastia; R$ 2.000,00 ; R$ 1.950,00 ;;;;;Anestesia e Serviços Médicoas LTDABraquioplastia
Anestesia e Serviços Médicoas LTDA;Cruroplastia; R$ 1.600,00 ; R$ 1.500,00 ;;;;;Anestesia e Serviços Médicoas LTDACruroplastia
Anestesia e Serviços Médicoas LTDA;Lifting Facial; R$ 2.800,00 ; R$ 2.600,00 ;;;;;Anestesia e Serviços Médicoas LTDALifting Facial
Anestesia e Serviços Médicoas LTDA;Rinoplastia; R$ 2.500,00 ; R$ 2.320,00 ;;;;;Anestesia e Serviços Médicoas LTDARinoplastia
Anestesia e Serviços Médicoas LTDA;Rinoplastia Com Cartilagem Costal; R$ 2.500,00 ; R$ 2.320,00 ;;;;;Anestesia e Serviços Médicoas LTDARinoplastia Com Cartilagem Costal
Anestesia e Serviços Médicoas LTDA;Ninfoplastia; R$ 1.500,00 ; R$ 1.500,00 ;;;;;Anestesia e Serviços Médicoas LTDANinfoplastia
Anestesista Mateus;Consulta Pré-Anestésica; R$ 220,00 ; R$ 220,00 ;22/05/2025;;;;Anestesista MateusConsulta Pré-Anestésica
Anestesista Mateus;Lipoaspiração Média 2 A 4 Horas; R$ 2.574,00 ; R$ 2.574,00 ;15/05/2025;;;;Anestesista MateusLipoaspiração Média 2 A 4 Horas
Anestesista Mateus;Lipoaspiração Pequena Até 2 Horas; R$ 2.574,00 ; R$ 2.574,00 ;15/05/2025;;;;Anestesista MateusLipoaspiração Pequena Até 2 Horas
Anestesista Mateus;Enxertia De Glúteo; R$ 500,00 ; R$ 500,00 ;15/05/2025;;;;Anestesista MateusEnxertia De Glúteo
Anestesista Mateus;Mini Abdominoplastia + Lipo De Cintura; R$ 1.925,00 ; R$ 1.925,00 ;15/05/2025;;;;Anestesista MateusMini Abdominoplastia + Lipo De Cintura
Anestesista Mateus;Mamoplastia De Aumento; R$ 1.980,00 ; R$ 1.980,00 ;15/05/2025;;;;Anestesista MateusMamoplastia De Aumento
Anestesista Mateus;Ginecomastia; R$ 1.870,00 ; R$ 1.870,00 ;15/05/2025;;;;Anestesista MateusGinecomastia
Anestesista Mateus;Mastopexia Sem Prótese; R$ 2.860,00 ; R$ 2.860,00 ;24/07/2025;;;;Anestesista MateusMastopexia Sem Prótese
